,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score,watch_score
394,Dating Amber,Comedy-Drama-Romance,en,Samuel Goldwyn Films-Altitude Film Entertainment-Tilted Pictures,0,0,92,Released,2020,94,86,6839.0,7.0,8
395,Horse Girl,Drama,en,Duplass Brothers Productions,0,0,104,Released,2020,71,48,18635.0,6.0,3
396,Love Sarah,Drama,en,Rainstar Productions-Miraj Films-Neopol Film,0,0,97,Released,2020,61,61,3180.0,6.1,3
397,I Am Woman,Drama-Music,en,Goalpost Pictures-Screen Australia-Transmission Pictures,0,0,116,Released,2020,66,64,2594.0,6.6,3
398,The Glorias,Drama,en,Roadside Attractions-LD Entertainment-Artemis Rising-Page Fifty-Four Pictures,0,0,147,Released,2020,68,65,3417.0,5.9,2
399,Violation,Horror-Thriller-Drama,en,DM Films,0,0,107,Released,2020,88,81,4095.0,5.3,5
400,Baby Done,Comedy,en,Piki Films,0,0,91,Released,2020,93,40,1485.0,6.0,5
401,I Used to Go Here,Comedy-Drama-Romance,en,Buffalo 8-Gravitas Ventures-SSS Entertainment-Yale Productions-Party Over Here-Ten Acre Films-BondIt Media Capital-SSS Film Capital-Buffalo 8 Productions,0,17300,87,Released,2020,85,41,3464.0,5.6,3
402,Mighty Oak,Comedy-Drama,en,Brookwell-McNamara Entertainment,0,0,102,Released,2020,55,78,661.0,5.1,2
403,The Murder of Nicole Brown Simpson,Thriller-Drama-Crime,en,1428 Films-Green Light Pictures-Skyline Entertainment,0,0,86,Released,2020,0,6,,,1
404,The Winter Lake,Thriller-Drama,en,Tailored Films-Creativity Capital-Title Media,0,0,92,Released,2020,71,21,1077.0,4.7,2
405,Sister of the Groom,Comedy-Romance,en,Mandorla Productions,0,0,82,Released,2020,47,21,743.0,4.6,0
406,The Arrangement,Thriller,en,Noble Failure Productions-heARTist Films-Luna K. Productions,0,0,103,Released,2020,15,63,101.0,6.5,2
407,Disclosure,Drama,en,Disclosure Productions,0,0,107,Released,2020,59,41,5740.0,8.2,3
408,La Leyenda Negra,Drama,en,Patricia Delgado Productions,0,0,84,Released,2020,82,50,85.0,7.1,5
409,Ode to Passion,Music-Drama-Romance,en,Jack Danini Productions,0,0,128,Released,2020,33,99,620.0,4.7,4
410,First One In,Comedy,en,Rosetta Films,0,0,98,Released,2020,100,56,89.0,5.4,4
411,Blood From Stone,Romance-Thriller-Horror,en,Indie Rights,0,0,116,Released,2020,100,88,192.0,4.6,6
412,Blonde Ambition,Drama-Romance,en,Surrender Cinema,0,0,101,Released,2019,14,22,,,0
413,Dear Mother,Romance-Drama,en,Insignia Films-Cote Ouest Audiovisuel (ABIDJAN),0,0,60,Released,2019,33,50,11.0,7.1,2
414,Christmas in July,Family,en,Matsuno Media,0,0,99,Released,2019,95,77,39.0,7.8,7
415,The Devil Has a Name,Drama-Comedy-Thriller,en,True Navigator Media-Four Horsemen Films-StoryBoard Media,0,0,97,Released,2019,35,39,,,0
416,Them That Follow,Thriller,en,Amasia Entertainment-G-BASE,0,0,98,Released,2019,59,45,3661.0,5.4,0
417,Mickey and the Bear,Drama,en,Thick Media-Shorelight Pictures,0,0,90,Released,2019,100,75,1654.0,6.6,6
418,Georgetown,Crime-Drama,en,RatPac Entertainment-InterTitle Films-Romulus Entertainment-Metalwork Pictures-Cornerstone Films,0,0,99,Released,2019,63,52,4530.0,6.2,2
419,Above the Shadows,Fantasy-Romance,en,Myriad Pictures-BondIt-HIPZEE-Boundary Stone Films,0,0,111,Released,2019,70,64,3333.0,6.0,4
420,Acceleration,Action,en,CineTel Films-7Heaven Productions,0,0,85,Released,2019,0,27,1626.0,3.4,0
421,Dead Dicks,Comedy-Horror-Science Fiction,en,Postal Code Films-Red Clay Pictures,0,0,83,Released,2019,100,37,1069.0,4.8,4
422,Gloria Bell,Drama-Romance,en,FilmNation Entertainment-Stage 6 Films-Fabula,0,11145006,102,Released,2019,91,47,,,4
423,Sword of Trust,Comedy,en,Forager Film,0,0,88,Released,2019,94,63,3877.0,6.3,5
424,Rocks,Drama,en,Head Gear Films-Film4 Productions-BFI-Altitude Film Entertainment-Metrol Technology-Kreo Films FZ-The Wellcome Trust-Fable Pictures,0,0,94,Released,2019,97,81,5148.0,7.4,8
425,An Acceptable Loss,Thriller-Drama,en,Corrado Mooncoin,0,0,102,Released,2019,12,70,1484.0,5.5,2
426,Daddy Issues,Drama,en,Under 1 Roof productions,0,0,90,Released,2019,89,76,,,5
427,Little Joe,Drama-Science Fiction,en,Coop 99 Filmproduktion-BR-BBC Film-ARTE-ORF-The Bureau-Essential Filmproduktion,0,0,106,Released,2019,67,41,8453.0,5.8,1
428,Extra Ordinary,Fantasy-Comedy-Horror,en,Screen Ireland-Epic Pictures Group-Blinder Films-uMedia-uFund-Wildcard Distribution-Inevitable Pictures-Cranked Up Films,0,0,94,Released,2019,98,77,10790.0,6.4,6
429,Little Woods,Drama-Thriller,en,Automatik Entertainment-Buffalo Picture House-Water's End Productions-Stoneboies Entertainment-Extra A Productions-Tango Entertainment,0,0,103,Released,2019,95,55,215184.0,7.8,5
430,Groupers,Comedy-Drama,en,Cold Cockle Productions,0,0,109,Released,2019,29,90,1060.0,5.2,4
431,Driven,Comedy-Horror-Thriller,en,Dead Leaf Productions,0,0,89,Released,2019,64,62,3496.0,5.2,2
432,Use Me,Thriller,en,Green Light Productions,0,0,91,Released,2019,86,74,545.0,4.1,5
433,Noelle,Family-Comedy-Fantasy,en,Walt Disney Pictures,0,0,100,Released,2019,57,55,24039.0,6.3,1
434,Coyote Lake,Thriller,en,Cranked Up Films,0,0,93,Released,2019,83,75,1302.0,5.4,5
435,VFW,Action-Horror,en,Voltage Pictures-Channel 83 Films-Fangoria Films-Media Finance Capital-Good Wizard,0,0,92,Released,2019,83,63,8983.0,6.1,5
436,Corporate Animals,Comedy-Horror,en,Screen Media Films-Snoot Entertainment-Protagonist Pictures-Pacific Electric Picture Company,0,0,86,Released,2019,25,15,3853.0,4.4,0
437,Miss Virginia,Drama,en,Moving Picture Institute,0,0,102,Released,2019,50,83,797.0,7.1,5
438,Take Me Somewhere Nice,Drama,en,Pupkin-VPRO,0,0,92,Released,2019,93,67,1609.0,6.3,5
439,Radioflash,Thriller-Drama,en,Dark Coast Pictures-Decipher Entertainment,0,0,103,Released,2019,0,47,5112.0,4.8,0
440,Beyond,Comedy-Romance,en,MTK Films-Motherland Media,0,0,107,Released,2019,68,75,2905.0,3.7,3
441,Then Came You,Comedy-Drama,en,Voltage Pictures-BCDF Pictures,0,0,97,Released,2019,57,72,,,2
442,Dark Encounter,Science Fiction-Thriller-Horror,en,Solis Film-Strathie Film-Goldfinch,0,0,97,Released,2019,71,41,3947.0,5.3,2
443,The Wedding Year,Comedy,en,Lakeshore Entertainment-Off The Dock,0,41767,90,Released,2019,44,51,3124.0,5.6,0
444,The Wolf Hour,Thriller,en,HanWay Films-Automatik Entertainment-Bradley Pilz Productions,0,0,99,Released,2019,46,44,3124.0,4.9,0
445,Holiday in the Wild,Romance-Comedy,en,Advantage Entertainment,0,0,85,Released,2019,38,50,16214.0,6.1,1
446,Strange but True,Thriller,en,First Generation Films-Automatik Entertainment-Motion Picture Capital,0,343038,96,Released,2019,55,83,5058.0,5.9,3
447,Back of the Net,Drama-Family,en,Screen Tasmania-The Steve Jaggi Company,0,0,86,Released,2019,50,33,797.0,5.2,0
448,Someone Great,Comedy-Romance,en,Likely Story-Feigco Entertainment-I Can & I Will Productions,0,0,92,Released,2019,83,65,23644.0,6.1,5
449,Brittany Runs a Marathon,Comedy-Drama,en,Material Pictures-Amazon Studios,0,7439448,103,Released,2019,88,87,20950.0,6.8,6
450,Port Authority,Drama,en,Madeleine Films-Sikelia Productions-RT Features-Rhea Films-Hercules Film Fund,0,0,94,Released,2019,84,69,942.0,6.4,5
451,The Short History of the Long Road,Drama,en,Bicephaly Pictures-Astute Films-Hua Wen Movie Group-Relic Pictures-Eggplant Picture & Sound-Lunacy Productions-Reverse Osmosis Films,0,0,90,Released,2019,89,82,,,5
452,The Deeper You Dig,Horror-Drama,en,Wonder Wheel Productions,0,0,95,Released,2019,94,57,2198.0,5.6,4
453,To Dust,Drama,en,Good Deed Entertainment-Storyland Pictures-Wing and a Prayer Pictures-King Bee Productions-Salem Street Entertainment-UnLTD Productions-The Alfred P. Sloan Foundation Production Grant,0,0,105,Released,2019,89,72,35.0,6.3,5
454,Most Likely to Murder,Thriller-TV Movie,en,Benattar/Thomas Productions-Headlong Entertainment,0,0,80,Released,2019,62,45,314.0,5.2,1
455,Top End Wedding,Comedy,en,Goalpost Pictures-Screen Australia,0,3681669,113,Released,2019,90,76,2215.0,6.3,6
456,Hilda,Drama,en,Odds On Productions,0,0,105,Released,2019,100,71,16.0,8.0,8
457,Mouthpiece,Drama,en,First Generation Films-Crucial Things,0,0,91,Released,2019,91,65,,,5
458,Hala,Drama,en,3 Arts Entertainment-Overbrook Entertainment-Endeavor Content,0,0,93,Released,2019,86,55,2647.0,6.2,4
459,Rosie,Drama,en,Element Pictures,0,0,86,Released,2019,67,100,,,5
460,Skin Walker,Horror-Thriller,en,Caviar-Calach Films,0,0,89,Released,2019,60,0,3581.0,4.2,1
461,The Chaperone,Drama,en,Anonymous Content-Fibonacci Films-39 Steps,0,600654,103,Released,2019,29,43,1728.0,6.6,1
462,The Unicorn,Comedy,en,Beachwood Park Films,0,0,88,Released,2019,91,64,8.0,8.4,7
463,Sister Aimee,Drama,en,Kill Claudio Productions-Santa Rita Film Co.,0,0,87,Released,2019,68,69,227.0,5.1,2
464,Poms,Comedy-Drama,en,Entertainment One-Sierra/Affinity-STX Entertainment-Mad as Birds-Rose Pictures,0,8600192,91,Released,2019,36,73,6667.0,6.1,3
465,The Hole in the Ground,Horror,en,Head Gear Films-Made-Metrol Technology-Savage Productions-Wrong Men North-Bankside Films,0,3373474,90,Released,2019,83,47,19781.0,5.6,3
466,After the Wedding,Drama,en,Ingenious Media-Rock Island Productions-Paradox Studios-Riverstone Pictures,0,2790019,110,Released,2019,88,87,8045.0,6.3,6
467,The Silence,Horror-Drama-Thriller-Fantasy,en,Constantin Film-EMJAG Productions,0,2325977,91,Released,2019,29,25,47328.0,5.3,0
468,The Sun Is Also a Star,Romance-Drama,en,Alloy Entertainment,0,1040000,100,Released,2019,51,60,7685.0,5.9,1
469,Freaks,Science Fiction-Thriller-Drama-Mystery,en,Bloomgarden Films-Amazing Incorporated-My Way Productions,0,333593,105,Released,2019,95,88,25.0,7.4,8
470,Angel of Mine,Drama-Thriller-Mystery,en,Screen Australia-Film Victoria-Garlin Pictures-SixtyFourSixty,0,230193,98,Released,2019,86,53,,,3
471,Fast Color,Thriller-Science Fiction,en,LD Entertainment-Codeblack Films-Original Headquarters,0,76916,102,Released,2019,81,58,938.0,7.8,5
472,The Haunting of Sharon Tate,Horror-Thriller,en,Voltage Pictures-ETA films-1428 Films-Green Light Pictures-Skyline Entertainment,0,68904,90,Released,2019,19,27,4223.0,2.9,0
473,Burn,Thriller-Crime-Action,en,Hopscotch Pictures-Yale Productions-Film Mode Entertainment-Particular Crowd-Inwood Road Films,0,25373,89,Released,2019,86,81,5373.0,5.7,5
474,Out of Blue,Drama-Crime-Mystery,en,BBC Film-BFI-Cannon and Morley Productions-Lipsync Productions-Independent-BFI Film Fund-The Electric Shadow Company-Ellenglaze Films,0,17682,110,Released,2019,37,33,657.0,6.1,1
475,Untogether,Comedy-Drama,en,Redwire Pictures,0,0,98,Released,2019,42,25,64.0,6.9,1
476,Juanita,Drama,en,Homegrown Pictures,0,0,90,Released,2019,82,64,2474.0,6.0,5
477,Camp Wedding,Comedy-Horror-Mystery,en,MINORapocalypse,0,0,90,Released,2019,71,60,1774.0,3.3,3
478,Heaven,Drama-TV Movie,en,Lifetime-Front Street Pictures,0,0,90,Released,2019,73,77,1613.0,5.8,4
479,The Birdcatcher,Drama-Thriller-War,en,Voltage Pictures-Norsk Filminstitutt-Motion Picture Capital-Garnet Girl-Reliance Entertainment Productions Scandi,0,0,97,Released,2019,17,62,1808.0,5.8,1
480,Body at Brighton Rock,Thriller,en,Soapbox Films-Protostar Pictures,0,0,88,Released,2019,67,20,2386.0,4.8,1
481,Coming Home Again,Drama,en,Center for Asian American Media Production,0,0,86,Released,2019,92,83,101.0,6.4,7
482,International Falls,Comedy,en,Gravitas Ventures,0,0,93,Released,2019,100,69,590.0,5.8,5
483,Sweetness in the Belly,Drama,en,Parallel Films-Sienna Films,0,0,111,Released,2019,40,54,725.0,5.6,0
484,She Never Died,Action-Fantasy-Horror-Crime,en,Alternate Ending Studios,0,0,89,Released,2019,100,42,1114.0,5.2,4
485,End of Sentence,Drama,en,Palomar Pictures-Samson Films-Berserk Films,0,0,96,Released,2019,92,88,4254.0,6.7,7
486,Dirty God,Drama,en,A Private View-BFI Film Fund-EMU Films-Viking Film-BFI,0,0,104,Released,2019,96,53,1695.0,6.5,5
487,Room for Rent,Thriller-Horror,en,Pasidg Productions Inc.,0,0,81,Released,2019,88,55,3702.0,5.3,3
488,Tooth Fairy,Horror-Thriller,en,ITN Distribution-ChampDog Films,0,0,86,Released,2019,14,34,337.0,2.2,0
489,Spinster,Comedy,en,Shut Up & Colour Pictures-Northeast Films-Woods Entertainment,0,0,90,Released,2019,82,74,1061.0,5.8,5
490,Tall Girl,Comedy-Drama-Romance,en,Wonderland Sound and Vision,0,0,101,Released,2019,38,22,24976.0,5.2,0
491,Jellyfish,Drama,en,F24 Film-Nik Holttum Productions-Lemonworld-Bank Side Films-Cinelease,0,0,98,Released,2019,87,79,,,5
492,Lady and the Tramp,Family-Romance-Comedy,en,Walt Disney Pictures-Taylor Made Entertainment,0,0,111,Released,2019,93,80,22751.0,6.2,7
493,Fractured,Thriller,en,Paul Schiff Productions-Macari/Edelstein-Koji Productions-Crow Island Films,0,0,99,Released,2019,59,51,80597.0,6.4,1
494,Run with the Hunted,Crime-Thriller,en,El Ride Productions-Roxwell Films-BondIt Media Capital,0,0,93,Released,2019,0,33,3700.0,5.2,0
495,The Body Remembers When the World Broke Open,Drama,en,Violator Films-William F. White International-Experimental Forest Films-Film Farms-Oslo Pictures-levelFILM,0,0,105,Released,2019,97,58,824.0,6.9,5
496,42nd Street,Comedy,en,BroadwayHD-Julian Marsh Pictures,0,0,132,Released,2019,96,74,457.0,7.8,7
497,Rattlesnake,Thriller-Drama-Mystery-Horror,en,Campfire,0,0,85,Released,2019,30,16,9018.0,4.6,0
498,The Furies,Horror-Action-Thriller,en,Head Gear Films-Metrol Technology-Kreo Films FZ-Odin's Eye Entertainment-The Film Distillery,0,0,82,Released,2019,92,80,5389.0,5.4,6
499,Can You Keep a Secret?,Romance-Comedy,en,Big Indie Pictures-BCDF Pictures,0,0,94,Released,2019,30,36,18672.0,5.3,0
500,CRSHD,Comedy-Drama,en,ESC Productions,0,0,81,Released,2019,75,60,374.0,4.6,3
501,Rabid,Science Fiction-Horror,en,Back 40 Films-Media Finance Capital,0,0,107,Released,2019,77,46,5733.0,5.2,2
502,Stay,Drama-Horror-Thriller,en,Honor,0,0,93,Released,2019,26,70,1067.0,4.2,2
503,Burning Cane,Drama,en,Denizen Pictures,0,0,77,Released,2019,92,35,,,4
504,Her Smell,Drama-Music,en,Faliro House Productions-Bow + Arrow Entertainment-Gunpowder & Sky,0,0,136,Released,2019,84,44,,,3
505,Troop Zero,Comedy-Drama-Family,en,Escape Artists-Big Indie Pictures-Amazon Studios-JuVee Productions,0,0,94,Released,2019,68,75,11278.0,6.9,4
506,Float Like a Butterfly,Drama,en,Samson Films-Port Pictures,0,0,101,Released,2019,87,69,,,4
507,Colewell,Drama,en,Washington Square Films-Wavelength Productions,0,0,79,Released,2019,100,55,532.0,6.3,5
508,Firecrackers,Drama,en,Alcina Pictures-Wildling Pictures-Prowler Film,0,0,93,Released,2019,96,60,,,5
509,A Good Woman Is Hard to Find,Thriller-Crime,en,Frakas Productions-February Films-Superbe Films,0,0,97,Released,2019,92,67,5017.0,6.3,5
510,The Laundromat,Drama-Crime-Comedy,en,Anonymous Content-Grey Matter Studios-Topic Studios-Sugar23,0,0,96,Released,2019,41,39,52552.0,6.3,1
511,State Like Sleep,Drama,en,The Orchard-3311 Productions-Scythia Films-Code Red Productions-Sight Unseen Pictures,0,0,105,Released,2019,37,16,1015.0,4.4,0
512,Aberdeen,Drama,en,Cloudstar Pictures,0,0,90,Released,2019,87,79,75.0,7.7,6
513,Sweetheart,Horror-Thriller,en,Blumhouse Productions,0,0,82,Released,2019,93,50,8973.0,5.8,4
514,Harriet,Drama-History,en,Focus Features,0,0,125,Released,2019,74,97,28500.0,6.7,6
515,Through Black Spruce,Drama-Mystery,en,Serendipity Point Films,0,0,111,Released,2019,40,82,688.0,5.8,3
516,Tell It to the Bees,Romance-Drama,en,Taking a Line for a Walk Productions-Riverstone Pictures-Archface Films-Cayenne Film Company-Reliance Entertainment Productions 8,0,0,106,Released,2019,53,61,79291.0,6.2,2
517,1BR,Thriller-Drama-Horror,en,Malevolent FIlms,0,0,90,Released,2019,88,52,14039.0,5.8,3
518,Salton Sea,Drama,en,Colab Studios,0,0,79,Released,2018,63,82,215.0,5.3,4
519,Mary Goes Round,Drama,en,Wildling Pictures,0,0,87,Released,2018,90,88,695.0,6.7,7
520,Miss Granny,Comedy-Drama,en,Viva Films-N² Productions-CJ Entertainment,0,0,120,Released,2018,80,88,1821.0,7.1,7
521,Solace,Drama,en,Morgan's Mark,0,0,87,Released,2018,24,44,155.0,5.0,0
522,Supa Modo,Drama,en,One Fine Day Films-Ginger Ink Films,0,0,74,Released,2018,90,82,504.0,7.2,8
523,Softness of Bodies,Drama,en,ZAK Film Productions-Studio Saboteur,0,0,74,Released,2018,100,58,199.0,5.1,4
524,Kissing Candice,Thriller-Drama,en,Venom Films-Screen Ireland,0,0,102,Released,2018,73,40,270.0,5.2,2
525,The Tokoloshe,Horror-Thriller,en,The Ergo Company,0,0,92,Released,2018,100,29,184.0,4.6,4
526,Doing Money,Drama-TV Movie,en,Renegade Pictures,0,0,90,Released,2018,80,60,540.0,7.0,5
527,Jinn,Drama,en,Sweet Potato Pie-Morgan's Mark-Confluential Films,0,0,92,Released,2018,18,31,433.0,6.0,1
528,Payday,Action-Thriller-Drama-Mystery,en,A Cut to the Chase Productions,0,0,105,Released,2018,50,77,131.0,3.9,2
529,The Misguided,Drama-Comedy,en,Early Autumn,0,0,88,Released,2018,57,90,531.0,4.6,4
530,Strange Colours,Drama,en,La Biennale di Venezia-Biennale College Cinema,0,0,85,Released,2018,100,100,199.0,6.4,8
531,Peripheral,Thriller-Horror,en,Ascension Productions,0,0,89,Released,2018,90,83,257.0,4.8,6
532,Dad,Drama,en,Rob Lobosco Productions,0,0,91,Released,2018,55,60,8.0,9.4,5
533,Night Shift,Horror,en,Blue Shadows Films-Greenflash Pictures-Grump Films,0,0,81,Released,2018,93,63,640.0,4.1,5
534,White Rabbit,Comedy-Drama,en,Mister Lister Films,0,0,71,Released,2018,21,60,376.0,5.7,1
535,They,Drama,en,Mass Ornament Films,0,0,80,Released,2018,67,38,36000.0,8.2,4
536,Skeletons in the Closet,Horror,en,Scotchworthy Productions-The Line Film Company,0,0,82,Released,2018,40,35,322.0,3.8,0
537,Deep End,Drama-Romance,en,Arclight Films,0,0,90,Released,2018,82,59,25.0,7.0,5
538,Life and Nothing More,Drama,en,Aquí y Allí Films,0,0,113,Released,2018,100,93,6617.0,7.9,9
539,Kayak to Klemtu,Family-Adventure,en,Scythia Films-Téléfilm Canada-Stellar Citizens,0,0,91,Released,2018,50,78,98.0,6.6,3
540,10x10,Thriller,en,Head Gear Films-Unstoppable Entertainment,0,0,86,Released,2018,67,23,9459.0,5.1,1
541,Cam,Mystery-Thriller-Horror,en,Blumhouse Productions-Divide / Conquer-Gunpowder & Sky,0,0,95,Released,2018,93,54,33503.0,5.9,4
542,Anna and the Apocalypse,Horror-Comedy-Fantasy,en,Creative Scotland-Black Camel Pictures-Parkhouse Pictures-Blazing Griffin,0,0,98,Released,2018,77,63,,,3
543,Can You Ever Forgive Me?,Drama-Crime-Comedy,en,Fox Searchlight Pictures-Archer Gray,0,8586944,107,Released,2018,98,81,53776.0,7.1,8
544,Relentless,Thriller,en,Human-Meridiano 89,0,0,95,Released,2018,50,33,458.0,4.6,0
545,High Strung Free Dance,Music-Romance-Drama,en,Castel Film-Riviera Films,0,235066,103,Released,2018,50,82,2108.0,6.8,4
546,Lies We Tell,Thriller-Crime-Romance,en,Bradford International Film Associates,0,0,109,Released,2018,0,33,594.0,4.1,0
547,Colossal Youth,Comedy-Drama-Romance,en,Giant Steps Productions,0,0,98,Released,2018,86,79,2758.0,5.3,5
548,Hospitality,Thriller-Crime-Drama,en,Kandoo Films,0,0,80,Released,2018,17,40,360.0,4.8,0
549,The Boy Downstairs,Romance-Comedy-Drama,en,Motion Picture Capital-The Boy Downstairs Productions-Cliffbrook Films,0,13638,91,Released,2018,64,43,1749.0,5.7,1
550,Katie Says Goodbye,Drama,en,Relic Pictures-Parallell Cinéma-Unknown Subject,0,0,88,Released,2018,45,70,2173.0,6.7,3
551,Open 24 Hours,Horror-Thriller,en,Zee Studios International-Seahorse Filmhouse,0,0,102,Released,2018,45,35,4085.0,5.5,0
552,Welcome to Mercy,Drama-Horror,en,EMH Consulting Group-Forma Pro Films-Global Creative Studios-IFC Midnight,0,0,103,Released,2018,70,49,,,2
553,Elizabeth Harvest,Science Fiction-Thriller-Horror-Mystery,en,Voltage Pictures-Automatik Entertainment-Motion Picture Capital,0,4973,105,Released,2018,52,57,8994.0,5.8,0
554,Permission,Comedy-Romance-Drama,en,Good Deed Entertainment-Ball & Chain Productions-Picture Films-Paper Trail-Circadian Pictures,0,0,96,Released,2018,67,31,,,1
555,Change in the Air,Drama,en,Red Square Pictures-M.Y.R.A. Entertainment-Fish Hook Media-Home Plate Pictures,0,0,94,Released,2018,11,47,697.0,5.7,0
556,Wild Nights with Emily,History-Comedy,en,Salem Street Entertainment-P2 Films-UnLTD Productions,0,0,84,Released,2018,89,56,1350.0,6.2,4
557,Nappily Ever After,Comedy-Romance,en,Marc Platt Productions-Badabing Pictures,0,0,100,Released,2018,67,70,9480.0,6.4,4
558,The Tale,Drama-TV Movie,en,ARTE-ZDF-Gamechanger Films-One Two Films-Untitled Entertainment-WeatherVane Productions-Blackbird Films-A Luminous Mind Production,0,0,115,Released,2018,99,82,18614.0,7.2,8
559,The Perfection,Horror-Thriller-Drama,en,Miramax-Capstone Pictures,0,0,90,Released,2018,71,56,45860.0,6.2,3
560,The Sonata,Horror-Thriller-Mystery,en,CTB Film Company-Tasse Film-ARRI Media-Featuristic Films-The Project,0,0,87,Released,2018,48,64,1462.0,5.2,1
561,55 Steps,Drama,en,Elsani Film-Aloe Entertainment-Mass Hysteria Entertainment-Potemkino Port-MMC Movies,0,0,115,Released,2018,50,82,4698.0,5.4,3
562,Tully,Comedy-Drama,en,Denver and Delilah Productions-Focus Features-Bron Studios-Right of Way Films-Creative Wealth Media Finance-West Egg Studios,0,15636462,96,Released,2018,81,76,60709.0,6.9,5
563,The More You Ignore Me,Comedy,en,Genesius Pictures,0,0,90,Released,2018,80,73,769.0,6.0,5
564,Pin Cushion,Drama,en,Quark Films,0,0,82,Released,2018,90,73,,,5
565,Funny Story,Comedy-Drama,en,Cinemand,0,0,84,Released,2018,83,70,518.0,5.2,5
566,A Face In The Crowd,Drama-Romance,en,Rok Studios,0,0,82,Released,2018,89,94,,,6
567,Look Away,Horror-Thriller-Fantasy,en,Buffalo Gal Pictures-MFM-Dana Lustig Productions-Primary Wave Entertainment-Ace in the Hole Productions,0,1119537,103,Released,2018,17,51,19814.0,5.8,0
568,The Night Sitter,Comedy-Horror,en,Roller Disco Massacre-Pelican Films,0,0,88,Released,2018,78,58,1074.0,4.9,2
569,Intensive Care,Action,en,Engenius Productions-GKG Productions,0,0,80,Released,2018,80,17,481.0,3.9,3
570,Who We Are Now,Drama,en,Oriah Entertainment,0,0,101,Released,2018,96,70,,,5
571,Cold November,Drama-Family-Thriller,en,Mama Bear Studios-Pollywogs Films-Kjax,0,0,92,Released,2018,100,60,,,5
572,The Second,Drama-Thriller,en,Screen Australia-Screen Queensland-Stan Australia-Tangerine Entertainment-Sense & Centsability-Second Films,0,0,94,Released,2018,63,50,346.0,5.0,1
573,An Evening with Beverly Luff Linn,Comedy-Crime,en,Park Pictures Features-Rook Films-Wigwam Films,0,0,108,Released,2018,53,49,6228.0,5.8,0
574,Ashes in the Snow,Drama-Romance,en,Tauras Films-Sorrento Productions,0,0,99,Released,2018,56,82,6505.0,6.6,4
575,All I Wish,Comedy-Romance,en,MRB Productions-ETA films,0,0,94,Released,2018,18,45,1718.0,5.2,0
576,Krystal,Drama-Comedy,en,Dog Pond Productions-Dorian Media-Pantry Films-Tangerine Pictures-Lionsgate,0,0,90,Released,2018,13,48,174.0,5.3,0
577,Social Animals,Comedy-Romance,en,BondIt-Cranium Entertainment,0,0,90,Released,2018,58,42,1908.0,5.3,0
578,Furlough,Comedy,en,DeerJen,0,0,84,Released,2018,20,32,1989.0,5.4,0
579,Along Came the Devil,Thriller-Horror-Drama,en,Gravitas Ventures-DeVan Clan Productions,0,0,89,Released,2018,38,44,1750.0,4.1,0
580,The Fare,Thriller-Mystery-Science Fiction,en,501 Pictures-Public Displays of Affection-Grady Film-Devilworks-Dread,0,0,82,Released,2018,100,69,2994.0,6.2,5
581,Lez Bomb,Comedy,en,Sprockefeller Pictures-Fair Lila Films,0,0,91,Released,2018,89,67,1477.0,5.2,4
582,All About Nina,Comedy-Drama,en,Diablo Entertainment-Malibu Films-Candela Films,0,0,97,Released,2018,86,71,2961.0,6.2,5
583,Been So Long,Drama-Music-Romance,en,BFI-Film4 Productions,0,0,100,Released,2018,92,68,1147.0,5.5,5
584,Head Full of Honey,Drama,en,Warner Bros. Pictures-Barefoot Films,0,0,127,Released,2018,0,76,2437.0,5.4,2
585,Small Town Crime,Thriller-Crime-Mystery,en,Avva Pictures-6 Foot Films,0,0,91,Released,2018,79,68,11996.0,6.6,4
586,Viking Destiny,Adventure-Action-Fantasy,en,Head Gear Films-uMedia-Fatal Black-Misfits Entertainment-Metrol Technology,0,0,91,Released,2018,13,35,1163.0,4.3,0
587,Pimp,Drama,en,308 Enterprises-Adrenaline Entertainment,0,0,86,Released,2018,0,13,13404.0,6.0,1
588,Obey,Drama,en,Harvest Pictures-Beyond Fiction,0,0,96,Released,2018,100,50,598.0,5.5,4
589,Skate Kitchen,Drama-Comedy,en,RT Features-Bow + Arrow Entertainment-Pulse Films,0,0,106,Released,2018,89,76,4653.0,6.8,5
590,God Bless the Broken Road,Drama-Family-Romance,en,10 West Studios-A Really Good Home Pictures,0,0,111,Released,2018,17,77,1153.0,5.7,2
591,6 Balloons,Drama,en,Campfire Studios-Free Association,0,0,75,Released,2018,86,56,4333.0,5.9,3
592,Dead Night,Horror,en,M3 Alliance Limited,0,0,82,Released,2018,63,47,,,1
593,The New Romantic,Drama-Comedy,en,Independent Edge Films-Nortario Films-JoBro Productions-Ontario Media Development Corporation (OMDC)-Téléfilm Canada-Northern Ontario Heritage Fund Corporation,0,0,82,Released,2018,61,37,2310.0,5.8,1
594,Extremity,Horror,en,Alberta Filmworks-Dark Elegy Films-Actra-Northern Gateway Films,0,0,103,Released,2018,100,38,989.0,4.2,4
595,American Woman,Drama,en,Scott Free Productions-Romulus Entertainment,0,0,111,Released,2018,89,81,7164.0,6.8,6
596,At First Light,Thriller-Science Fiction,en,Oddfellows Entertainment,0,0,90,Released,2018,54,45,3919.0,5.6,0
597,Where Is Kyra?,Drama,en,Killer Films-Big Indie Pictures-Little Minx Films,0,59717,98,Released,2018,81,51,1764.0,5.5,3
