,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
500,CRSHD,Comedy-Drama,en,ESC Productions,0,0,81,Released,2019,75.0,60.0,374.0,4.6
501,Rabid,Science Fiction-Horror,en,Back 40 Films-Media Finance Capital,0,0,107,Released,2019,77.0,46.0,5733.0,5.2
502,Stay,Drama-Horror-Thriller,en,Honor,0,0,93,Released,2019,26.0,70.0,1067.0,4.2
503,Burning Cane,Drama,en,Denizen Pictures,0,0,77,Released,2019,92.0,35.0,,
504,Her Smell,Drama-Music,en,Faliro House Productions-Bow + Arrow Entertainment-Gunpowder & Sky,0,0,136,Released,2019,84.0,44.0,,
505,Troop Zero,Comedy-Drama-Family,en,Escape Artists-Big Indie Pictures-Amazon Studios-JuVee Productions,0,0,94,Released,2019,68.0,75.0,11278.0,6.9
506,Float Like a Butterfly,Drama,en,Samson Films-Port Pictures,0,0,101,Released,2019,87.0,69.0,,
507,Colewell,Drama,en,Washington Square Films-Wavelength Productions,0,0,79,Released,2019,100.0,55.0,532.0,6.3
508,Firecrackers,Drama,en,Alcina Pictures-Wildling Pictures-Prowler Film,0,0,93,Released,2019,96.0,60.0,,
509,A Good Woman Is Hard to Find,Thriller-Crime,en,Frakas Productions-February Films-Superbe Films,0,0,97,Released,2019,92.0,67.0,5017.0,6.3
510,The Laundromat,Drama-Crime-Comedy,en,Anonymous Content-Grey Matter Studios-Topic Studios-Sugar23,0,0,96,Released,2019,41.0,39.0,52552.0,6.3
511,State Like Sleep,Drama,en,The Orchard-3311 Productions-Scythia Films-Code Red Productions-Sight Unseen Pictures,0,0,105,Released,2019,37.0,16.0,1015.0,4.4
512,Aberdeen,Drama,en,Cloudstar Pictures,0,0,90,Released,2019,87.0,79.0,75.0,7.7
513,Sweetheart,Horror-Thriller,en,Blumhouse Productions,0,0,82,Released,2019,93.0,50.0,8973.0,5.8
514,Harriet,Drama-History,en,Focus Features,0,0,125,Released,2019,74.0,97.0,28500.0,6.7
515,Through Black Spruce,Drama-Mystery,en,Serendipity Point Films,0,0,111,Released,2019,40.0,82.0,688.0,5.8
516,Tell It to the Bees,Romance-Drama,en,Taking a Line for a Walk Productions-Riverstone Pictures-Archface Films-Cayenne Film Company-Reliance Entertainment Productions 8,0,0,106,Released,2019,53.0,61.0,79291.0,6.2
517,1BR,Thriller-Drama-Horror,en,Malevolent FIlms,0,0,90,Released,2019,88.0,52.0,14039.0,5.8
518,Salton Sea,Drama,en,Colab Studios,0,0,79,Released,2018,63.0,82.0,215.0,5.3
519,Mary Goes Round,Drama,en,Wildling Pictures,0,0,87,Released,2018,90.0,88.0,695.0,6.7
520,Miss Granny,Comedy-Drama,en,Viva Films-N² Productions-CJ Entertainment,0,0,120,Released,2018,80.0,88.0,1821.0,7.1
521,Solace,Drama,en,Morgan's Mark,0,0,87,Released,2018,24.0,44.0,155.0,5.0
522,Supa Modo,Drama,en,One Fine Day Films-Ginger Ink Films,0,0,74,Released,2018,90.0,82.0,504.0,7.2
523,Softness of Bodies,Drama,en,ZAK Film Productions-Studio Saboteur,0,0,74,Released,2018,100.0,58.0,199.0,5.1
524,Kissing Candice,Thriller-Drama,en,Venom Films-Screen Ireland,0,0,102,Released,2018,73.0,40.0,270.0,5.2
525,The Tokoloshe,Horror-Thriller,en,The Ergo Company,0,0,92,Released,2018,100.0,29.0,184.0,4.6
526,Doing Money,Drama-TV Movie,en,Renegade Pictures,0,0,90,Released,2018,80.0,60.0,540.0,7.0
527,Jinn,Drama,en,Sweet Potato Pie-Morgan's Mark-Confluential Films,0,0,92,Released,2018,18.0,31.0,433.0,6.0
528,Payday,Action-Thriller-Drama-Mystery,en,A Cut to the Chase Productions,0,0,105,Released,2018,50.0,77.0,131.0,3.9
529,The Misguided,Drama-Comedy,en,Early Autumn,0,0,88,Released,2018,57.0,90.0,531.0,4.6
530,Strange Colours,Drama,en,La Biennale di Venezia-Biennale College Cinema,0,0,85,Released,2018,100.0,100.0,199.0,6.4
531,Peripheral,Thriller-Horror,en,Ascension Productions,0,0,89,Released,2018,90.0,83.0,257.0,4.8
532,Dad,Drama,en,Rob Lobosco Productions,0,0,91,Released,2018,55.0,60.0,8.0,9.4
533,Night Shift,Horror,en,Blue Shadows Films-Greenflash Pictures-Grump Films,0,0,81,Released,2018,93.0,63.0,640.0,4.1
534,White Rabbit,Comedy-Drama,en,Mister Lister Films,0,0,71,Released,2018,21.0,60.0,376.0,5.7
535,They,Drama,en,Mass Ornament Films,0,0,80,Released,2018,67.0,38.0,36000.0,8.2
536,Skeletons in the Closet,Horror,en,Scotchworthy Productions-The Line Film Company,0,0,82,Released,2018,40.0,35.0,322.0,3.8
537,Deep End,Drama-Romance,en,Arclight Films,0,0,90,Released,2018,82.0,59.0,25.0,7.0
538,Life and Nothing More,Drama,en,Aquí y Allí Films,0,0,113,Released,2018,100.0,93.0,6617.0,7.9
539,Kayak to Klemtu,Family-Adventure,en,Scythia Films-Téléfilm Canada-Stellar Citizens,0,0,91,Released,2018,50.0,78.0,98.0,6.6
540,10x10,Thriller,en,Head Gear Films-Unstoppable Entertainment,0,0,86,Released,2018,67.0,23.0,9459.0,5.1
541,Cam,Mystery-Thriller-Horror,en,Blumhouse Productions-Divide / Conquer-Gunpowder & Sky,0,0,95,Released,2018,93.0,54.0,33503.0,5.9
542,Anna and the Apocalypse,Horror-Comedy-Fantasy,en,Creative Scotland-Black Camel Pictures-Parkhouse Pictures-Blazing Griffin,0,0,98,Released,2018,77.0,63.0,,
543,Can You Ever Forgive Me?,Drama-Crime-Comedy,en,Fox Searchlight Pictures-Archer Gray,0,8586944,107,Released,2018,98.0,81.0,53776.0,7.1
544,Relentless,Thriller,en,Human-Meridiano 89,0,0,95,Released,2018,50.0,33.0,458.0,4.6
545,High Strung Free Dance,Music-Romance-Drama,en,Castel Film-Riviera Films,0,235066,103,Released,2018,50.0,82.0,2108.0,6.8
546,Lies We Tell,Thriller-Crime-Romance,en,Bradford International Film Associates,0,0,109,Released,2018,0.0,33.0,594.0,4.1
