,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
332,Black Bear,Drama-Comedy-Thriller,en,Tandem Pictures-Blue Creek Pictures-Oakhurst Entertainment,0,0,106,Released,2020,89,59,14023,6.5
333,The Last Thing He Wanted,Drama-Thriller,en,The Fyzz-Elevated Films-Little Red Hen,0,0,116,Released,2020,5,13,15973,4.3
334,The High Note,Romance-Comedy-Music-Drama,en,Focus Features-Working Title Films,0,0,113,Released,2020,71,73,12431,6.4
335,Happiest Season,Romance-Comedy,en,Temple Hill Entertainment,0,1401954,102,Released,2020,82,73,43244,6.6
336,Death of Me,Horror-Mystery,en,Lionsgate-Benetone Films-Envision Media Arts-Dobre Films-Saban Films-Media Finance Capital-13 Films,0,41848,95,Released,2020,31,22,6760,4.4
337,The Voices,Horror-Thriller,en,Three Tales Productions,0,0,96,Released,2020,75,58,471,3.9
338,The Wrong Missy,Comedy-Romance,en,Happy Madison Productions-QC Entertainment,0,0,90,Released,2020,32,50,41711,5.7
339,Ammonite,Romance-Drama,en,See-Saw Films,0,1396905,118,Released,2020,69,85,19869,6.5
340,The Kid Detective,Comedy-Drama-Mystery,en,Woods Entertainment-JoBro Productions-levelFILM,0,0,99,Released,2020,85,76,20266,7
341,Swallow,Drama-Thriller,en,Syncopated Films-Logical Pictures-Charades-Stand Alone Productions-The Population,0,0,96,Released,2020,87,71,26,3.9
342,Unpregnant,Drama-Comedy,en,Berlanti Productions-PictureStart-Warner Max,0,0,104,Released,2020,92,15,8728,6.5
343,Chick Fight,Action-Comedy,en,Yale Productions,0,0,98,Released,2020,37,18,4170,4.8
344,Pixie,Comedy-Crime-Thriller,en,Fragile Films,0,479317,93,Released,2020,76,58,4884,5.9
345,Radioactive,Drama-Romance-History,en,StudioCanal-Working Title Films-Shoebox Films-Pioneer Stilking Films,0,3507755,111,Released,2020,63,42,19530,6.2
346,Friendsgiving,Comedy,en,Red Hour-Rhea Films-Saban Films-Endeavor Content,0,0,95,Released,2020,19,23,3388,4.4
347,The Other Lamb,Horror-Drama-Thriller,en,Subotica Entertainment-IFC Midnight-Rumble Films,0,0,97,Released,2020,75,38,5100,5.3
348,Herself,Drama,en,BBC Films-Element Pictures-Amazon Studios-Merman,0,0,97,Released,2020,94,84,4063,7
349,On the Rocks,Drama-Comedy,en,American Zoetrope,0,0,96,Released,2020,87,50,33552,6.4
350,They Reach,Adventure-Horror,en,Rocket Rat Pictures-Single Schred Films,0,0,88,Released,2020,50,59,1140,4.5
351,The Broken Hearts Gallery,Comedy-Romance,en,No Trace Camping,0,0,109,Released,2020,79,88,9405,6.3
352,Pieces of a Woman,Drama,en,Bron Studios-Proton Cinema-Sikelia Productions-Creative Wealth Media Finance-Little Lamb Productions-Post Office Films,0,0,127,Released,2020,75,84,51988,7
353,Work It,Comedy-Music,en,Alloy Entertainment-STX Entertainment-AK Worldwide,0,0,93,Released,2020,85,63,14304,6.1
354,Relic,Horror-Drama-Mystery-Thriller,en,Screen Australia-Film Victoria-Carver Films-Nine Stories Productions-AGBO-Russo Brothers,0,2902552,89,Released,2020,92,52,27864,6
355,Wild Mountain Thyme,Romance-Drama,en,Likely Story-Screen Ireland-HanWay Films-Amasia Entertainment-Port Pictures-Mar-Key Pictures-Aperture Media Partners-The Western Regional Audiovisual Producers Fund/Wrap Fund,0,0,102,Released,2020,25,52,10451,5.7
356,Dead Reckoning,Thriller,en,Moody Independent-Productivity Media,0,0,91,Released,2020,17,0,,
357,Ava,Action-Crime-Drama-Adventure-Thriller,en,Voltage Pictures-Freckle Films-Vertical Entertainment,0,2987741,96,Released,2020,85,68,58368,5.4
358,Run Sweetheart Run,Thriller-Horror,en,Blumhouse Productions-Automatik Entertainment-Gamechanger Films-Quiet Girl Productions-Stuck On On,0,0,103,Released,2020,63,46,5553,5.4
359,After We Collided,Romance-Drama,en,Offspring Entertainment-Voltage Pictures-Wattpad-Frayed Pages Entertainment,0,42000000,105,Released,2020,13,93,33765,5
360,Amulet,Horror,en,Head Gear Films-Metrol Technology-Dignity Film Finance-Kreo Films FZ-Trigger Films-Stigma Films,0,0,99,Released,2020,72,35,4150,4.9
361,Come True,Science Fiction-Horror,en,Téléfilm Canada-Angel Entertainment-Copperheart Entertainment,0,70459,105,Released,2020,85,57,9754,6
362,12 Hour Shift,Thriller-Horror-Comedy-Crime,en,HCT Media,0,0,88,Released,2020,77,49,4663,5.5
363,Feel the Beat,Comedy-Music-Drama,en,Resonate Entertainment-Bitter Boy Productions Ltd.,0,0,107,Released,2020,50,56,12097,6.3
364,Stargirl,Comedy-Drama-Romance-Family,en,Walt Disney Pictures-Gotham Group-BCDF Pictures-Hahnscape Entertainment,0,0,107,Released,2020,68,69,5846,6.2
365,Promising Young Woman,Thriller-Crime-Drama,en,FilmNation Entertainment-LuckyChap Entertainment,0,13868965,114,Released,2020,90,87,183233,7.5
366,My Spy,Family-Action-Comedy,en,MWM Studios-STX Entertainment,0,4418501,99,Released,2020,48,38,32001,6.3
367,Girl,Thriller,en,Envision Media Arts-Fella Films-Trilight Entertainment-Anamorphic Media,0,0,90,Released,2020,84,74,3624,4.9
368,Secret Society of Second Born Royals,Action-Adventure-Comedy-Fantasy,en,Walt Disney Television,0,0,97,Released,2020,57,38,5677,4.9
369,Godmothered,Family-Fantasy-Comedy,en,Walt Disney Pictures-The Montecito Picture Company-Studio AKA,0,0,113,Released,2020,67,57,13107,6.1
370,The Mortuary Collection,Fantasy-Horror,en,Trapdoor Pictures-Alliance Media Partners-Mountain Path Entertainment,0,34265,108,Released,2020,96,70,13488,6.4
371,The Kissing Booth 2,Comedy-Romance,en,Komixx Entertainment,0,0,132,Released,2020,27,38,33658,5.7
372,Princess of the Row,Drama,en,Big Boss Creative-Odd Box Films-Shifty Eye Productions,0,0,90,Released,2020,88,92,490,6.3
373,Yellow Rose,Drama-Music,en,Home Away Productions-Civilian Studios,0,0,94,Released,2020,87,76,1225,6.5
374,My Name Is Sara,History-Drama,en,Watchout Productions-James Lucy Productions,0,0,111,Released,2020,71,88,105472,7.8
375,Elyse,Drama,en,Margam Films,0,0,94,Released,2020,43,36,554,4.3
376,Monstrous,Horror-Mystery-Thriller,en,377 Films-Traverse Terror-Lil Red Hen Media,0,0,86,Released,2020,60,18,797,3.8
377,Guest of Honour,Drama,en,Elevation Pictures-Ego Film Arts-The Film Farm-Playtime,0,0,105,Released,2020,42,36,1074,5.8
378,Viena and the Fantomes,Romance-Drama-Music,en,Versimilitude-Lola Pictures-Silver State Production Services,0,0,105,Released,2020,20,25,790,4.3
379,Miss Juneteenth,Drama,en,Sailor Bear-Vertical Entertainment-Ley Line Entertainment,0,0,103,Released,2020,99,57,1903,6.5
380,Modern Persuasion,Comedy-Romance-Drama-TV Movie,en,Tangerine Entertainment-Tortyfly Pictures,0,0,87,Released,2020,50,42,819,4.9
381,County Lines,Drama,en,Two Birds Entertainment-Loupe Films,0,0,90,Released,2020,96,73,1370,6.9
382,No Good Deed,TV Movie-Thriller,en,Incendo Productions,0,0,90,Released,2020,25,25,21088,5.6
383,Dead,Comedy-Horror-Mystery,en,Augusto,0,0,90,Released,2020,93,77,,
384,She Dies Tomorrow,Drama,en,Rustic Films,0,398663,85,Released,2020,84,23,6670,5.1
385,The Bay of Silence,Thriller,en,International Film Trust-Imperative Entertainment-Media Finance Capital-Silent Bay Productions-Levitate Film-So What Pictures-Vigilant Entertainment-Tbos Film-TS Entertainment,0,1941,93,Released,2020,52,45,2343,4.4
386,Let It Snow,Horror-Thriller,en,Solar Media Entertainment,0,0,86,Released,2020,53,63,1430,4.4
387,The Lost Husband,Drama-Romance,en,Six Foot Pictures,0,0,109,Released,2020,58,62,5161,6.1
388,Sightless,Thriller-Horror,en,MarVista Entertainment-Benattar/Thomas Productions-Headlong Entertainment,0,0,89,Released,2020,40,42,9230,5.5
389,Babyteeth,Drama-Comedy-Romance,en,Screen Australia-Spectrum Films-Jan Chapman Films-Create NSW-Whitefalk Films-WeirAnderson.com,0,989310,118,Released,2020,94,84,17164,7.2
390,The Sleepover,Family-Action,en,LD Entertainment,0,0,103,Released,2020,67,54,11113,5.7
391,Hall,Horror-Thriller,en,Franky Films,0,0,80,Released,2020,80,8,480,3.6
392,Body Cam,Horror-Thriller-Mystery,en,Paramount Players-ACE Entertainment,0,0,96,Released,2020,44,34,7074,5.3
393,The 2nd,Action,en,Turbo Panda Productions-Fury Film Franchise-Lucid Film,0,0,93,Released,2020,0,11,8829,3.8
394,Dating Amber,Comedy-Drama-Romance,en,Samuel Goldwyn Films-Altitude Film Entertainment-Tilted Pictures,0,0,92,Released,2020,94,86,6839,7
395,Horse Girl,Drama,en,Duplass Brothers Productions,0,0,104,Released,2020,71,48,18635,6
396,Love Sarah,Drama,en,Rainstar Productions-Miraj Films-Neopol Film,0,0,97,Released,2020,61,61,3180,6.1
397,I Am Woman,Drama-Music,en,Goalpost Pictures-Screen Australia-Transmission Pictures,0,0,116,Released,2020,66,64,2594,6.6
398,The Glorias,Drama,en,Roadside Attractions-LD Entertainment-Artemis Rising-Page Fifty-Four Pictures,0,0,147,Released,2020,68,65,3417,5.9
399,Violation,Horror-Thriller-Drama,en,DM Films,0,0,107,Released,2020,88,81,4095,5.3
