,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
300,Needle in a Timestack,Drama-Romance-Science Fiction,en,Lionsgate-Bron Studios-Pacific Northwest Pictures-Creative Wealth Media Finance-Photon Films-Ember20,0,0,111,Released,2021,37,54,1967,5.2
301,A Perfect Enemy,Drama-Mystery-Thriller,en,OCS-Brainstorm Media-Treehouse Pictures-Barry Films-Deutscher Filmförderfonds-Natixis Coficiné-Sábado Películas-HessenFilm und Medien-Crea SGR-The Project-Es Cine-Pulsar Content-OneWorld Entertainment-Televisió de Catalunya (TV3),0,0,89,Released,2021,87,38,3245,5.5
302,Good on Paper,Comedy-Romance,en,Universal Pictures-Burn Later Productions-Meridian Content,0,0,92,Released,2021,53,37,12942,5.6
303,The Girl Who Believes in Miracles,Family-Drama,en,120dB Films-Trailmaker Productions-Gerson Productions,0,0,100,Released,2021,40,93,1105,5.5
304,Clairevoyant,Comedy,en,Myriad Pictures,0,0,88,Released,2021,78,89,2862,5.6
305,Kicking Blood,Drama-Fantasy-Horror,en,New Real Films-LevelFILM,0,0,80,Released,2021,74,58,196,4.4
306,Rose Plays Julie,Drama-Thriller,en,Samson Films-Desperate Optimists Productions,0,0,100,Released,2021,95,42,1379,6.5
307,The Influencer,Comedy-Thriller-Drama,en,Breaking Glass Pictures-Wizard Cats-Daisy Eagle Films,0,0,90,Released,2021,67,83,126,5.8
308,Sound of Violence,Horror-Thriller-Crime,en,You Know Films-No-Office,0,0,94,Released,2021,67,61,1076,4.8
309,Demigod,Horror,en,Historia Films-Artist Vodka Films,0,0,94,Released,2021,63,85,2146,4.2
310,Dolphin Island,Family-Drama,en,Entertainment Squad-Mr. Puppy Productions,0,0,91,Released,2021,64,83,163,5
311,India Sweets and Spices,Comedy-Drama-Romance,en,Sidney Kimmel Entertainment,0,0,101,Released,2021,83,78,729,6.1
312,For the Love of Money,Family-Drama,en,Thunderbird Entertainment,0,0,93,Released,2021,0,50,779,4.2
313,The Darkness,Horror,en,Tharun Productions,0,0,95,Released,2021,3,19,95,4.8
314,Honey,Drama-Romance,en,Neon Shark Media,0,0,59,Released,2021,21,71,215,5
315,Dreamer,Science Fiction-Comedy,en,Dreamerland,0,0,81,Released,2021,64,78,,
316,Ravers,Comedy-Horror,en,Iron Box Films,0,0,91,Released,2020,78,75,64,6.2
317,Kindred,Drama-Mystery-Horror-Thriller,en,Head Gear Films-Lipsync Productions-Serotonin Films-Metrol Technology-Beta Cinema-IFC Midnight-Reiver Pictures,0,8921,101,Released,2020,44,46,,
318,A Nightmare Wakes,Thriller,en,Eggplant Picture & Sound-Wild Obscura Films,0,0,91,Released,2020,51,46,325,3.7
319,Goldie,Drama,en,VICE Media-AgX,0,0,88,Released,2020,95,60,37,7.6
320,Jezebel,Drama,en,House of Numa-Salem Street Entertainment-UnLTD Productions,0,0,88,Released,2020,95,83,,
321,Relentless,Thriller,en,Deodand Entertainment-Mogo Media,0,0,73,Released,2020,50,33,92,4.8
322,Undertow,Drama-Thriller,en,Emerald Productions-MIFF Premiere Fund,0,0,90,Released,2020,54,61,,
323,Star Light,Horror-Thriller-Mystery,en,San Francisco Independent Cinema-Indie Entertainment-Orama Filmworks,0,0,89,Released,2020,57,50,310,4
324,Bird,Crime-Thriller,en,Anti-Hero Studios-Naturally Red Productions-Like-Minded Productions (LMP),0,0,106,Released,2020,83,79,246187,6
325,The Garden Left Behind,Drama,en,Queens Pictures-Autonomous Pictures,0,0,88,Released,2020,90,89,,
326,Transference,Horror-Thriller,en,Benacus Productions-Moonset Creations Film,0,0,79,Released,2020,0,0,2328,5
327,What the Constitution Means to Me,Drama,en,Big Beach-Defiant By Nature,0,0,100,Released,2020,97,76,730,7.4
328,Possessor Uncut,Horror-Thriller-Science Fiction,en,Rhombus Media-Ingenious Media-Téléfilm Canada-Arclight Films-Rook Films-Elevation Pictures-Neon-Well Go USA Entertainment-Ontario Creates-Particular Crowd-Crave,0,841334,104,Released,2020,94,59,39786,6.5
329,The Secret Garden,Family-Fantasy-Drama,en,Heyday Films-StudioCanal,0,889816,99,Released,2020,88,80,9280,5.6
330,A California Christmas,Comedy-Romance-Drama,en,ESX Entertainment,0,0,106,Released,2020,60,53,10659,5.8
331,Castle Freak,Horror,en,Full Moon Entertainment-Fangoria Films-Not The Funeral Home-Media Finance Capital-Good Wizard-Pioneer Media-Ill Willed Productions,0,0,106,Released,2020,57,44,1476,4.2
