,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
0,Black Widow,Action-Adventure-Science Fiction,en,Marvel Studios,200000000,379751655,134,Released,2021,79,91,390922,6.7
1,Cruella,Comedy-Crime,en,Walt Disney Pictures-Marc Platt Productions-Gunn Films,200000000,233503234,134,Released,2021,75,97,241275,7.3
2,Jungle Cruise,Action-Adventure-Fantasy,en,Walt Disney Pictures-Davis Entertainment-TSG Entertainment-Flynn Picture Company-Zaftig Films-Seven Bucks Productions,200000000,220889446,127,Released,2021,62,92,197047,6.6
3,Mulan,Adventure-Fantasy-Drama-Action,en,Walt Disney Pictures-China Film Group Corporation-Jason T. Reed Productions-Good Fear,200000000,66800000,115,Released,2020,86,85,151262,5.7
4,Wonder Woman 1984,Action-Adventure-Fantasy,en,Warner Bros. Pictures-Atlas Entertainment-The Stone Quarry-DC Films,200000000,165160005,151,Released,2020,58,73,275440,5.4
5,Dark Phoenix,Science Fiction-Action-Adventure,en,20th Century Fox-The Donners' Company-Genre Films-Hutch Parker Entertainment,200000000,252442974,114,Released,2019,22,64,192384,5.7
6,Maleficent: Mistress of Evil,Family-Fantasy-Adventure-Action,en,Walt Disney Pictures-Roth Films,185000000,491730089,119,Released,2019,39,95,109303,6.6
7,Toy Story 4,Family-Adventure-Animation-Comedy-Fantasy,en,Walt Disney Pictures-Pixar,175000000,1073394593,100,Released,2019,97,94,258439,7.7
8,Bumblebee,Action-Adventure-Science Fiction,en,Paramount-Di Bonaventura Pictures-Bay Films-Tom DeSanto/Don Murphy Production-Allspark Pictures,135000000,467989645,113,Released,2018,91,74,171355,6.7
9,The Nutcracker and the Four Realms,Fantasy-Adventure-Family,en,Walt Disney Pictures-The Mark Gordon Company-Entertainment One,120000000,59522646,99,Released,2018,32,34,35170,5.6
10,Wonder Park,Comedy-Animation-Adventure-Family-Fantasy,en,Paramount-Nickelodeon Movies-Ilion Animation Studios-Paramount Animation,100000000,119559110,86,Released,2019,34,44,12222,5.8
11,Tomb Raider,Action-Adventure-Fantasy,en,Metro-Goldwyn-Mayer-Warner Bros. Pictures-GK Films-SQUARE ENIX,94000000,274650803,118,Released,2018,53,55,218313,6.3
12,Ghostbusters: Afterlife,Fantasy-Comedy-Adventure,en,Columbia Pictures-The Montecito Picture Company-Bron Studios-Ghost Corps,75000000,191000000,124,Released,2021,63,94,189388,7.1
13,House of Gucci,Drama-Crime-History,en,Metro-Goldwyn-Mayer-Scott Free Productions-Bron Studios,75000000,153235995,158,Released,2021,62,83,143005,6.6
14,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Action-Crime,en,Warner Bros. Pictures-LuckyChap Entertainment-Clubhouse Pictures-Kroll & Co Entertainment-DC Films,75000000,201858461,109,Released,2020,78,78,246181,6
15,Playmobil: The Movie,Family-Animation-Comedy-Adventure,en,Lionsgate-Canadian Film or Video Production Tax Credit (CPTC)-SODEC-DMG Entertainment-STX Entertainment-ON Animation Studios-Morgen Studios,75000000,0,99,Released,2019,18,62,4321,4.9
16,Mamma Mia! Here We Go Again,Comedy-Romance,en,Playtone-Littlestar,75000000,395044706,113,Released,2018,79,66,"99,145",6.6
17,The Lost City,Action-Adventure-Comedy,en,Paramount-Fortis Films-Exhibit A Film-3dot Productions,74000000,190844029,112,Released,2022,79,83,130683,6.1
18,Red Sparrow,Mystery-Thriller,en,20th Century Fox-Chernin Entertainment-Film Rites-Soundtrack New York,69000000,151572634,140,Released,2018,45,49,191609,6.6
19,Prey,Thriller-Action-Science Fiction,en,20th Century Studios,65000000,0,100,Released,2022,93,73,202822,7.1
20,Clifford the Big Red Dog,Family-Adventure-Comedy-Fantasy,en,Paramount-Kerner Entertainment Company-Entertainment One-Walden Media-Scholastic Entertainment-New Republic Pictures,64000000,67000000,97,Released,2021,58,94,14511,5.9
21,Three Thousand Years of Longing,Fantasy-Drama-Romance,en,Metro-Goldwyn-Mayer-Kennedy Miller Productions-FilmNation Entertainment-CAA Media Finance-Elevate Production Finance-Sunac Pictures,60000000,19145392,108,Released,2022,71,73,41404,6.7
22,The Kid Who Would Be King,Action-Adventure-Fantasy-Family,en,20th Century Fox-Big Talk Productions-Working Title Films-TSG Entertainment,59000000,32140970,120,Released,2019,90,55,17583,6.1
23,Fifty Shades Freed,Drama-Romance,en,Universal Pictures-Perfect World Pictures,55000000,368307760,105,Released,2018,11,37,68296,4.5
24,The Rhythm Section,Action-Thriller,en,Ingenious Media-IM Global-Eon Productions-Babieka Films-Global Road Entertainment-Whitebeard Films,50000000,0,109,Released,2020,28,44,18992,5.4
25,Dora and the Lost City of Gold,Adventure-Comedy-Family-Fantasy,en,Paramount-Nickelodeon Movies-Walden Media-Screen Queensland-Paramount Players,49000000,119682635,102,Released,2019,85,88,32007,6.1
26,Doctor Sleep,Horror-Thriller-Fantasy,en,Vertigo Entertainment-Intrepid Pictures,45000000,72281712,152,Released,2019,78,89,199454,7.3
27,UglyDolls,Family-Animation-Music,en,Reel FX Creative Studios-STX Entertainment-Alibaba Pictures Group-Original Force Animation-Huaxia Film Distribution,45000000,32450241,87,Released,2019,29,54,7165,5.1
28,Last Night in Soho,Horror-Mystery-Thriller,en,Universal Pictures-Film4 Productions-Working Title Films-Complete Fiction,43000000,22957625,117,Released,2021,76,90,146554,7
29,Long Shot,Comedy-Romance,en,Lionsgate-Denver and Delilah Productions-Point Grey Pictures-Good Universe-AG Studios,40000000,0,125,Released,2019,89,83,114204,6.8
30,A Star Is Born,Music-Drama-Romance,en,Malpaso Productions-Warner Bros. Pictures-Gerber Pictures-Thunder Road-Live Nation Productions-22 & Green-Joint Effort,36000000,433888866,136,Released,2018,90,80,394006,7.6
31,The Darkest Minds,Action-Adventure-Drama,en,20th Century Fox-21 Laps Entertainment,34000000,41142379,105,Released,2018,15,72,33606,5.7
32,Unhinged,Action-Thriller,en,Ingenious Media-Altitude Film Entertainment-Solstice Productions-Burek Films,33000000,39238300,90,Released,2020,48,77,71037,6
