,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
100,Dear Dictator,Comedy,en,Universal Pictures-Tunnel Post-Aloe Entertainment-Defiant Pictures-Bluegrass Films-Digital Ignition Entertainment-Cinedigm Entertainment-WYSJ Media-Hindsight Films Ltd-Hector Coup-Wicked Magic Productions,6700000,0,90,Released,2018,16,41,5017,5
101,Countdown,Horror-Thriller,en,Universal Pictures-STX Entertainment-Wrigley Pictures,6500000,48021766,90,Released,2019,26,72,40732,5.4
102,A Nice Girl Like You,Comedy-Romance,en,Vertical Entertainment-SPR Media-Affirmative Entertainment-CaliWood Pictures,6100000,0,94,Released,2020,10,47,5973,5.1
103,Ready or Not,Comedy-Horror-Thriller,en,Fox Searchlight Pictures-Vinson Films-Mythology Entertainment-Radio Silence,6000000,57615777,95,Released,2019,88,78,160268,6.8
104,The Prodigy,Horror-Thriller,en,Metro-Goldwyn-Mayer-Orion Pictures-XYZ Films-Vinson Films,6000000,21150265,92,Released,2019,42,37,27245,5.9
105,Breaking In,Thriller-Crime-Action,en,Will Packer Productions-Breaking In Pictures,6000000,49078000,88,Released,2018,82,42,16294,5.5
106,Nomadland,Drama,en,Highwayman Films-Cor Cordium Productions-Hear/Say Productions,5000000,14784114,108,Released,2020,93,82,168016,7.3
107,Zola,Comedy-Crime,en,Killer Films-Gigi Films-Ramona Films,5000000,3500000,86,Released,2020,88,68,15469,6.5
108,Gretel & Hansel,Fantasy-Horror-Mystery,en,Orion Pictures-Automatik Entertainment-Bron Studios-Creative Wealth Media Finance-Wild Atlantic Pictures,5000000,22059211,87,Released,2020,63,23,31990,5.5
109,Deep Blue Sea 3,Action-Horror-Science Fiction,en,Roserock Films,5000000,0,100,Released,2020,71,45,6778,4.7
110,Wendy,Fantasy-Adventure-Drama,en,Court 13 Pictures-Department of Motion Pictures-Searchlight Pictures,5000000,0,111,Released,2020,42,75,3562,5.7
111,Black Christmas,Horror-Mystery-Thriller,en,Universal Pictures-Blumhouse Productions-Divide / Conquer,5000000,18529730,92,Released,2019,14,38,43877,7.1
112,Ma,Horror-Thriller,en,Universal Pictures-Blumhouse Productions-Wyolah Films,5000000,51749995,99,Released,2019,92,55,55216,5.6
113,The Woman in the Window,Drama-Crime-Mystery-Thriller,en,Scott Rudin Productions-Fox 2000 Pictures-TSG Entertainment-20th Century Studios,4000000,0,102,Released,2021,25,33,77884,5.7
114,Late Night,Comedy-Drama,en,Scott Rudin Productions-FilmNation Entertainment-Imperative Entertainment-30WEST,4000000,22384741,102,Released,2019,79,77,39016,6.5
115,Vivarium,Science Fiction-Thriller-Mystery,en,XYZ Films-PingPongFilm-Fantastic Films-Frakas Productions-Saban Films-Lovely Productions,3947600,427399,97,Released,2019,73,39,62764,5.8
116,Winchester,Horror-Thriller,en,Lionsgate-CBS Films-Screen Australia-Screen Queensland-Film Victoria-Blacklab Entertainment-Imagination Design Works-Eclipse Pictures,3500000,44019588,100,Released,2018,13,32,35130,5.4
117,Funny Cow,Comedy-Drama,en,Gizmo Films-StudioPOW-Moviehouse-Laughing Girl Limited,3000000,0,103,Released,2018,79,69,2413,6.5
118,Midnight Sun,Romance-Drama,en,Universal Pictures-Boies/Schiller Film Group-Wrigley Pictures,2800000,27365467,91,Released,2018,20,56,32981,6.6
119,Mad Heidi,Action-Adventure-Comedy-Fantasy-Horror,en,A Film Company-Swissploitation Films,2600000,0,92,Released,2022,100,94,2280,5.6
120,To Your Last Death,Animation-Horror,en,Coverage Ink,2500000,0,91,Released,2019,71,65,3742,5.9
121,Run Hide Fight,Action-Crime-Thriller,en,Cinestate-Rebeller-Bonfire Legend,2000000,0,109,Released,2021,38,93,25095,6.3
122,Eighth Grade,Comedy-Drama,en,Scott Rudin Productions-A24,2000000,13539709,94,Released,2018,99,82,78304,7.4
123,Run,Thriller-Horror-Drama,en,Search Party,1700000,3400000,90,Released,2020,89,74,84546,6.7
124,Unsane,Horror-Thriller,en,Regency Enterprises-Extension 765-New Regency Pictures-Fingerprint Releasing,1500000,14293601,98,Released,2018,80,59,47799,6.4
125,The Gateway,Science Fiction,en,Filmscope Entertainment-Convergence Productions Pty,1328931,0,90,Released,2018,51,39,1071,4.8
126,Dune Drifter,Science Fiction,en,Dead Pixel Productions,1200000,0,98,Released,2020,100,40,1392,3.5
127,Marvelous and the Black Hole,Comedy-Drama,en,FilmRise-Tribeca Film Institute-Maomao Productions,1000000,0,81,Released,2022,86,65,2327,6.2
128,Who Am I?,Drama,en,Strong Foundation Films,940000,0,88,Released,2019,67,68,59323,7.5
129,The Miseducation of Cameron Post,Drama,en,Parkville Pictures-Beachside Films,900000,2019874,92,Released,2018,86,76,23790,6.6
130,Children of the Corn,Horror-Thriller,en,120dB Films-Digital Riot Media-Angel Oak Films-ANVL Entertainment,800000,0,93,Released,2020,12,38,1292,3.6
131,Rust Creek,Thriller-Drama-Action-Crime,en,IFC Midnight-Lunacy Productions,750000,0,108,Released,2019,86,62,12285,5.9
132,mid90s,Drama-Comedy,en,Scott Rudin Productions-Waypoint Entertainment-A24,258158,6897446,86,Released,2018,80,81,69549,7.3
133,The Farewell,Comedy-Drama,en,Big Beach-Depth of Field-Kindred Spirit-Seesaw Productions,250300,22110994,100,Released,2019,97,87,66692,7.5
134,Shiva Baby,Comedy-Drama,en,Thick Media-Irving Harvey-Neon Heart Productions-Bad Mensch Productions-Dimbo Pictures-It Doesn't Suck Productions,250000,31014,78,Released,2021,96,77,24386,7.1
135,Anything for Jackson,Horror,en,Vortex Productions,250000,0,96,Released,2020,98,71,9184,6.3
136,Shutter,Horror-Thriller,en,Invader Films,200000,0,105,Released,2018,63,77,1344477,8.2
137,Tahara,Drama-Comedy,en,Film Movement,120000,0,78,Released,2022,97,50,210,5.8
138,Dashcam,Horror-Thriller,en,Blumhouse Productions-Shadowhouse Films,100000,58156,80,Released,2022,48,34,4222,4.6
139,Sunday Girl,Comedy,en,Crestmont Pictures,80000,0,78,Released,2019,77,33,123,4.9
140,Book of Monsters,Comedy-Horror-Action,en,Dark Rift Films,76000,0,84,Released,2019,75,42,2170,4.7
141,Blink,Drama,en,Green Eyed Theater,40000,0,98,Released,2018,64,45,8714,6.2
142,Fading Petals,Drama,en,Crazy Goose Productions,11000,0,93,Released,2022,80,100,249,8.3
143,Afraid of the Dark,Drama-Horror-Thriller,en,Ghost Train Films,5000,0,71,Released,2021,20,33,1268,5.8
144,Fatherland,Drama,en,Slaney Studios,200,0,106,Released,2022,50,52,539,6.2
145,West Michigan,Drama,en,Two Other Trees,100,0,76,Released,2021,94,73,133,4.8
146,Till,Drama-History,en,Metro-Goldwyn-Mayer-Orion Pictures-Eon Productions-Frederick Zollo Productions-Whoop/One Ho Productions/Lil' Whoop Productions,0,8900000,131,Released,2022,96,97,9117,7.1
147,Empire of Light,Drama-Romance,en,Neal Street Productions-Searchlight Pictures,0,5251349,115,Released,2022,45,74,14429,6.6
148,Honk for Jesus. Save Your Soul.,Comedy,en,Focus Features-Monkeypaw Productions-Pinky Promise-Ejime Productions-59%-Indian Meadows Productions-Rh Negative Entertainment,0,2144225,98,Released,2022,71,29,3602,5.4
149,Emily,Drama-History-Romance,en,Ingenious Media-Tempo Productions-Arenamedia-Embankment Films,0,1859871,130,Released,2022,88,84,4293,6.9
150,Mercy Black,Horror-Mystery-Thriller,en,Blumhouse Productions-Divide / Conquer,0,200046,87,Released,2022,45,22,3856,4.9
151,On the Come Up,Drama-Music,en,State Street Pictures-Temple Hill Entertainment-Paramount Players,0,46000,115,Released,2022,74,73,582,5.6
152,She Will,Thriller-Horror-Drama,en,Pressman Film-Filmgate Films-RocketScience-Popcorn Group-Intermission Film,0,40958,95,Released,2022,85,49,2141,5.4
153,Honeydew,Horror,en,Little Sky Film-Rubber Road Productions-Bloody Disgusting,0,32890,106,Released,2021,65,38,2230,4.4
154,To Leslie,Drama,en,BCDF Pictures-Shaken Not Stirred Productions-Baral Waley Productions-Bluewater Lane Productions,0,27322,119,Released,2022,93,86,9459,7.1
155,Paradise Highway,Thriller-Crime-Drama,en,Grindstone Entertainment Group-ZDF-Silver Reel,0,0,115,Released,2022,17,70,4448,5.6
156,Fresh,Horror-Thriller-Comedy,en,Legendary Pictures-Hyperobject Industries,0,0,114,Released,2022,88,91,60892,6.7
157,Last Seen Alive,Action-Thriller,en,Voltage Pictures,0,0,95,Released,2022,13,39,23879,5.6
158,Christmas with You,Romance-Comedy,en,GMT Films,0,0,91,Released,2022,65,60,6542,5.6
