,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
159,Catherine Called Birdy,Adventure-Comedy,en,Working Title Films-Amazon Studios-Good Thing Going Productions,0,0,108,Released,2022,88,62,6025,6.6
160,The Valet,Comedy-Romance,en,Lionsgate-3Pas Studios,0,0,124,Released,2022,70,68,14132,6.7
161,Crush,Comedy-Romance,en,3 Arts Entertainment-Depth of Field-LD Entertainment-American High-Animal Pictures,0,0,92,Released,2022,36,58,7593,6.3
162,The Munsters,Comedy-Fantasy,en,Universal 1440 Entertainment-Spookshow International,0,0,110,Released,2022,52,36,9877,4.5
163,Topside,Drama,en,Likely Story-Red Crown Productions-K Period Media-ELO films-Level Forward,0,0,85,Released,2022,81,79,557,6
164,Senior Year,Comedy,en,Broken Road Productions-Paramount Players,0,0,112,Released,2022,23,46,39753,5.5
165,The Hater,Comedy,en,Vertical Entertainment-Pulse Films-Red Crown Productions-Monarch Partners,0,0,107,Released,2022,83,82,251,4.3
166,A Banquet,Horror,en,HanWay Films-Tea Shop & Film Company-Creativity Capital-Riverstone Pictures-Reliance Entertainment Productions 8,0,0,97,Released,2022,56,35,1124,4.8
167,Seriously Red,Comedy-Drama-Music,en,Screen Australia-Robyn Kershaw Productions-The Dollhouse Pictures-Filmology Finance,0,0,98,Released,2022,50,56,522,5.2
168,Two Witches,Horror,en,Incubo Films-The Rancon Company,0,0,95,Released,2022,91,67,730,4.9
169,Mona Lisa and the Blood Moon,Mystery-Fantasy-Thriller-Science Fiction,en,Le Grisbi Productions-RocketScience-Black Bicycle Entertainment-141 Entertainment-wiip,0,0,106,Released,2022,74,62,3116,6.2
170,Sharp Stick,Comedy,en,FilmNation Entertainment-Good Thing Going Productions,0,0,96,Released,2022,48,36,1489,4.9
171,Christmas with the Campbells,Comedy-Romance,en,Wild West Picture Show Productions-Cartel Pictures-The Cartel,0,0,88,Released,2022,37,55,931,5.3
172,The Lost King,Drama-Comedy,en,BBC Film-Ingenious Media-Baby Cow Productions-Pathé-Creative Scotland,0,0,108,Released,2022,77,90,3293,6.6
173,Here Before,Drama-Mystery-Thriller,en,BBC Film-Screen Ireland-Rooks Nest Entertainment-Saban Films,0,0,83,Released,2022,86,52,1248,5.8
174,A Wounded Fawn,Horror,en,Snowfort Pictures-Three Point Capital-Barbhouse Productions-Genco Pictures-HorrorHound Films,0,0,91,Released,2022,96,60,2156,5.5
175,A Violent Man,Crime-Drama,en,Ascendant Films,0,0,107,Released,2022,36,71,702,5
176,Tangled,Comedy-Romance,en,PassionFlix,0,0,106,Released,2022,89,87,464272,7.7
177,You Are Not My Mother,Horror-Thriller,en,Screen Ireland-Fantastic Films,0,0,93,Released,2022,88,51,4556,5.8
178,How to Please a Woman,Comedy,en,Such Much Films-Feisty Dame Productions,0,0,107,Released,2022,69,60,1205,6.2
179,Children of Sin,Horror,en,CWM Entertainment,0,0,94,Released,2022,43,50,281,4
180,The Eternal Daughter,Drama-Mystery,en,BBC Film-Element Pictures-Sikelia Productions-A24-JWH Films,0,0,96,Released,2022,95,44,3219,6
181,Attachment,Romance-Horror-Comedy,en,Nordisk Film Denmark-New Danish Screen,0,0,105,Released,2022,94,47,7,10
182,Persuasion,Romance-Drama-Comedy,en,Mad Chance-MRC-Bisous Pictures-Fourth & Twenty Eight Films,0,0,108,Released,2022,30,75,31378,5.8
183,Rosaline,Comedy-Romance,en,21 Laps Entertainment-20th Century Studios,0,0,96,Released,2022,74,77,8222,6.4
184,Nocebo,Horror-Thriller,en,Epicmedia-Lovely Productions-Wild Swim Films,0,0,96,Released,2022,71,67,3956,5.8
185,Fantasy Football,Comedy-Family,en,Nickelodeon Movies-NFL Films-Nickelodeon Productions-SpringHill Entertainment-Genius Productions,0,0,98,Released,2022,33,80,525,5.9
186,Scorched Earth,Science Fiction-Thriller-Action-Drama,en,Retro Gem Media-Morrison Productions,0,0,63,Released,2022,18,40,4360,4.4
187,The Sky Is Everywhere,Drama-Romance-Music,en,Di Novi Pictures-A24-Alice the Who,0,0,103,Released,2022,65,58,1454,5.6
188,Dear Zoe,Drama,en,Zin Haze Productions,0,0,94,Released,2022,71,89,792,5.5
189,Love in the Villa,Romance-Comedy,en,Off Camera Entertainment-Grumpy Entertainment,0,0,114,Released,2022,33,34,11161,5.4
190,Motherly,Thriller-Horror,en,Federgreen Entertainment-Lucky Dime Films,0,0,90,Released,2022,86,74,1281,5.1
191,The Royal Treatment,Romance-Comedy,en,Focus Features International (FFI),0,0,96,Released,2022,35,35,10148,5.2
192,As They Made Us,Drama-Romance-Comedy,en,Screen Media Ventures-Yale Productions-BondIt-Film Mode Entertainment-Vested Interest-Carte Blanche-Sad Clown Productions,0,0,96,Released,2022,81,87,1273,5.8
193,Cha Cha Real Smooth,Comedy-Drama-Romance,en,Endeavor Content-PictureStart-TeaTime Pictures,0,0,108,Released,2022,85,61,21618,7.3
194,Tin Can,Science Fiction-Horror,en,Cut Off Tail-levelFILM,0,0,104,Released,2022,80,60,242,4
195,Nanny,Horror-Drama,en,Blumhouse Productions-Amazon Studios-Stay Gold Features-Topic Studios-LinLay Productions,0,0,99,Released,2022,90,62,6131,5.3
196,They Live in the Grey,Horror,en,STANDOFF Pictures-Whiskey Stream Films,0,0,124,Released,2022,58,66,946,5
197,Cosmic Dawn,Science Fiction-Thriller,en,Cranked Up Films-Prowler Pictures,0,0,98,Released,2022,83,43,491,4.1
198,The Nan Movie,Comedy,en,DJ Films-Great Point Media-Merlin Films-Sulcata Productions-Zahala Productions-Lip Sync Productions,0,0,95,Released,2022,0,44,1304,4.8
199,The Almond and the Seahorse,Drama,en,Head Gear Films-Metrol Technology-Mad as Birds,0,0,95,Released,2022,13,64,267,5.4
