,title,genres,original_language,production_companies,budget,revenue,duration,status,release_year,rotten_score,audience_score,imdb_rater_count,imdb_score
400,Baby Done,Comedy,en,Piki Films,0,0,91,Released,2020,93.0,40.0,1485.0,6.0
401,I Used to Go Here,Comedy-Drama-Romance,en,Buffalo 8-Gravitas Ventures-SSS Entertainment-Yale Productions-Party Over Here-Ten Acre Films-BondIt Media Capital-SSS Film Capital-Buffalo 8 Productions,0,17300,87,Released,2020,85.0,41.0,3464.0,5.6
402,Mighty Oak,Comedy-Drama,en,Brookwell-McNamara Entertainment,0,0,102,Released,2020,55.0,78.0,661.0,5.1
403,The Murder of Nicole Brown Simpson,Thriller-Drama-Crime,en,1428 Films-Green Light Pictures-Skyline Entertainment,0,0,86,Released,2020,0.0,6.0,,
404,The Winter Lake,Thriller-Drama,en,Tailored Films-Creativity Capital-Title Media,0,0,92,Released,2020,71.0,21.0,1077.0,4.7
405,Sister of the Groom,Comedy-Romance,en,Mandorla Productions,0,0,82,Released,2020,47.0,21.0,743.0,4.6
406,The Arrangement,Thriller,en,Noble Failure Productions-heARTist Films-Luna K. Productions,0,0,103,Released,2020,15.0,63.0,101.0,6.5
407,Disclosure,Drama,en,Disclosure Productions,0,0,107,Released,2020,59.0,41.0,5740.0,8.2
408,La Leyenda Negra,Drama,en,Patricia Delgado Productions,0,0,84,Released,2020,82.0,50.0,85.0,7.1
409,Ode to Passion,Music-Drama-Romance,en,Jack Danini Productions,0,0,128,Released,2020,33.0,99.0,620.0,4.7
410,First One In,Comedy,en,Rosetta Films,0,0,98,Released,2020,100.0,56.0,89.0,5.4
411,Blood From Stone,Romance-Thriller-Horror,en,Indie Rights,0,0,116,Released,2020,100.0,88.0,192.0,4.6
412,Blonde Ambition,Drama-Romance,en,Surrender Cinema,0,0,101,Released,2019,14.0,22.0,,
413,Dear Mother,Romance-Drama,en,Insignia Films-Cote Ouest Audiovisuel (ABIDJAN),0,0,60,Released,2019,33.0,50.0,11.0,7.1
414,Christmas in July,Family,en,Matsuno Media,0,0,99,Released,2019,95.0,77.0,39.0,7.8
